unique_id,provider_id_person,first_name,last_name,year_of_birth,gender,dispersal_area,date_started_service,provider_id_housing_entry,housing_entry_date,housing_entry_accommodation,provider_id_housing_sustain,housing_sustainment_date,housing_sustain_accommodation,provider_id_baseline,ni_number,nationality,referral_source,current_dependants_uk,number_u18_HH,number_over_18_HH,age_profile_of_dependants_uk,date_arrived_in_uk,date_asylum_status_granted,language_level_on_entry,highest_qualification_achieved,age_finished_study,employed_in_home_country,occupation_type,occupation_sector,occupation_goal,prior_employment,employment_status,hours_of_employment,wage_baseline,education_training_status,housing_baseline_accommodation,homelessness_baseline,provider_id_integration_creation,integration_outcome_type_creation,integration_outcome_achieved_date_creation,integration_social_creation,integration_comms_language_creation,integration_digital_creation,provider_id_integration_6month,integration_outcome_type_6month,integration_outcome_achieved_date_6month,integration_social_6month,integration_comms_language_6month,integration_digital_6month,provider_id_integration_12month,integration_outcome_type_12month,integration_outcome_achieved_date_12month,integration_social_12month,integration_comms_language_12month,integration_digital_12month,provider_id_empl_inter,date_intermediate_employment_outcome,intermediate_employment_outcome_type,provider_id_empl_entry,employment_entry_outcome_type,date_employment_entry,primary_employment_entry_status,secondary_employment_entry_status,hours_of_employment_entry,wage_employment_entry,education_training_status_entry,employment_entry_occupation,employment_entry_sector,provider_id_empl_sustain,employment_sustainment_date,employment_sustain_status,hours_of_employment_sustain,wage_employment_sustain,education_training_status_sustain,employment_sustain_occupation,employment_sustain_sector,provider_id_last_seen,date_last_seen,reason_for_disengagement
QK-51,,commercial,field,1995,Prefer not to say,Bolton Council,2022-05,,2022-12-10,RPC,prepare,2023-06-12,RLA,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-11-29,tbc,tbc,tbc,,6 month,2023-05-31,tbc,tbc,tbc,,,,,,,,,,hit,Employment,2023-02-13,TC,,0 to 7 hours,16,formal education,realize,eye,,,,,,,,,,,
KN-40,,middle,phone,1971,Non-binary,Rochdale Borough Council,2022-05,,,,,,,,ZM666238B,AX,Migrant Help,No,,4,,2020-03,2022-02,Beyond Level 2,Level 5+,,No,,,financial,Yes,ZHC,Don't know,,Not in formal education,Other safe and secure accommodation,,wind,Creation,2023-02-02,tbc,tbc,tbc,seek,6 month,2023-05-18,tbc,tbc,tbc,claim,12 month,2023-11-25,tbc,tbc,tbc,during,2023-01-15,"Volunteering, qualifications or skills",,Self-employment,2023-01-29,ZHC,ZHC,49 or more hours,82,Not in formal education,start,soldier,,2023-10-18,Other,Don't know,47,formal education,total,side,,,
AI-67,government,appear,order,1982,Other,Bolton Council,2022-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opportunity,Creation,2023-02-12,tbc,tbc,tbc,,,,,,,,,,,,,,,,hospital,Employment,2023-02-15,Other,,8 to 15 hours,47,formal education,choose,car,,,,,,,,,,,
MU-93,,baby,standard,1969,Prefer not to say,Sunderland City Council,2022-09,free,2022-12-19,RLA,,,,shoulder,SS475278A,SO,Other,No,,,11-17,2018-02,2020-09,Pre-entry,Below formal levels,,Yes,reason,indeed,suggest,Don't know,CIH,31 to 48 hours,,Not in formal education,Asylum accommodation,,,Creation,2023-01-17,tbc,tbc,tbc,energy,6 month,2023-05-08,tbc,tbc,tbc,,,,,,,,2023-04-22,"Volunteering, business plan for self-employment, employability",back,Self-employment,2022-11-27,CIH,,8 to 15 hours,71,formal education,knowledge,realize,can,2023-07-16,SE,49 or more hours,65,Not in formal education,population,raise,,,
GA-76,receive,wind,country,1961,Prefer not to say,Bolton Council,2022-08,week,2022-12-18,RPC,something,2023-06-29,other,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-10-28,tbc,tbc,tbc,arrive,6 month,2023-05-14,tbc,tbc,tbc,,,,,,,condition,2023-02-07,"another specified activity, employability, mentoring and/or coaching",,Employment,2022-12-01,PC,SE,16 to 30 hours,70,formal education,nation,lead,,,,,,,,,go,2022-05-23,discuss
QM-62,,beyond,always,1958,Prefer not to say,North Tyneside Council,2022-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,Creation,2022-10-13,tbc,tbc,tbc,still,6 month,2023-05-13,tbc,tbc,tbc,,12 month,2023-12-01,tbc,tbc,tbc,,2023-05-24,"Registered business for self-employment, Volunteering, qualifications or skills, sector-specific language training",,Employment,2022-11-24,CIH,,8 to 15 hours,100,formal education,process,accept,dark,2023-09-18,ZHC,0 to 7 hours,61,Not in formal education,way,cold,,,
FM-15,glass,everyone,recognize,1962,Non-binary,Sunderland City Council,2022-07,,,,,,,,RX669765D,PS,Other Health,No,,,,2017-05,2020-10,Below formal levels,Entry level,,Yes,car,music,car,No,SE,49 or more hours,5,Not in formal education,Other safe and secure accommodation,,,,,,,,,,,,,,,,,,,,,2023-03-08,"Internship, mentoring and/or coaching, qualifications or skills, sector-specific language training",,Self-employment,2022-11-17,SE,,0 to 7 hours,71,formal education,bring,chair,,2023-06-13,TC,16 to 30 hours,96,Not in formal education,gun,us,,,
NU-63,boy,their,individual,1979,Other,Birmingham City Council,2022-03,,,,,,,,GX230412B,GM,Migrant Help,Yes,,8,,2018-05,2020-12,Entry level 1,Level 1-2,,Yes,end,tonight,five,Don't know,CIH,,,Not in formal education,Renting - Local authority or housing association,,,Creation,2022-11-09,tbc,tbc,tbc,,6 month,2023-05-22,tbc,tbc,tbc,station,12 month,2023-12-10,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
FG-81,about,look,audience,1980,Man,Manchester City Council,2022-09,,,,,,,something,AG124842D,BJ,DWP,No,,0,,2017-07,2021-04,Entry level 2,Below formal levels,,Yes,baby,authority,top,Don't know,ULA,49 or more hours,39,Not in formal education,Renting - private sector,,gas,Creation,2023-01-20,tbc,tbc,tbc,foreign,6 month,2023-05-20,tbc,tbc,tbc,,12 month,2023-12-03,tbc,tbc,tbc,,2023-01-23,"Internship, training course, work experience",or,Self-employment,2023-01-09,PC,,Don't know,73,formal education,property,enough,happen,2023-10-13,CIH,31 to 48 hours,37,formal education,civil,kitchen,,2022-03-20,
VQ-14,which,parent,project,1990,Non-binary,Bury Council,2022-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in,Creation,2023-01-04,tbc,tbc,tbc,,,,,,,,,,,,,,2023-02-22,"employability, mentoring and/or coaching, sector-specific language training",,Self-employment,2022-12-23,TC,,31 to 48 hours,93,Not in formal education,almost,full,,2023-07-29,SE,16 to 30 hours,68,formal education,dinner,politics,,,
LW-80,,prepare,policy,1976,Prefer not to say,Bolton Council,2022-02,,,,,,,party,CX160783D,GR,Primary Care,Yes,,6,"0-4, Caring responsibilities for an adult",2017-08,2020-11,Beyond Level 2,Level 3-4,,No,,,between,Yes,SE,,,formal education,Publicly funded temporary accommodation,,,Creation,2022-09-27,tbc,tbc,tbc,of,6 month,2023-05-29,tbc,tbc,tbc,,12 month,2023-12-03,tbc,tbc,tbc,,2023-05-04,"Volunteering, another specified activity, business plan for self-employment",energy,Employment,2023-02-06,SE,Other,49 or more hours,4,formal education,official,building,wife,2023-10-18,SE,31 to 48 hours,65,Not in formal education,cultural,test,,,
EV-30,then,interview,pattern,1998,Prefer not to say,Sunderland City Council,2021-12,,,,,,,week,ML149509B,IL,Local VCS,No,2,,0-4,2019-04,2021-02,Entry level 3,Level 3-4,,Yes,off,finally,finally,Yes,PC,16 to 30 hours,23,formal education,Renting - Local authority or housing association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO-36,,your,reason,1971,Non-binary,Bury Council,2022-02,,,,,,,number,XX091568C,NL,Migrant Help,Yes,,,"11-17, 5-11",2018-01,2020-12,Level 2,Unknown,13,Yes,give,center,beat,No,PC,0 to 7 hours,79,Not in formal education,Renting - private sector,,,Creation,2022-11-26,tbc,tbc,tbc,white,6 month,2023-05-21,tbc,tbc,tbc,,12 month,2023-11-26,tbc,tbc,tbc,keep,2023-04-01,"mentoring and/or coaching, qualifications or skills, work experience",,Employment,2023-01-14,ZHC,PC,Don't know,17,Not in formal education,road,measure,send,2023-10-20,SE,31 to 48 hours,26,formal education,gas,officer,,,
HB-78,however,stand,middle,1985,Prefer not to say,North Tyneside Council,2022-08,,,,,,,,HZ402952C,ET,HO providers,No,7,,,2020-01,2021-03,Level 1,Level 3-4,,No,,,central,Don't know,ULA,0 to 7 hours,,formal education,Self-funded temporary accommodation (e.g. hotel),,,Creation,2022-12-22,tbc,tbc,tbc,Republican,6 month,2023-05-22,tbc,tbc,tbc,,12 month,2023-11-27,tbc,tbc,tbc,decade,2023-04-26,"Registered business for self-employment, business plan for self-employment, mentoring and/or coaching, training course",next,Self-employment,2023-02-24,Other,PC,Don't know,32,formal education,actually,develop,live,2023-09-10,CIH,16 to 30 hours,37,Not in formal education,research,culture,,,
IZ-19,,well,staff,1976,Woman,Plymouth City Council,2022-07,everybody,2022-12-04,other,,2023-05-26,RPC,exist,,KY,Other,No,,5,,2017-06,2021-05,Entry level 3,Level 3-4,,No,,,bed,Don't know,CIH,,,Not in formal education,Homeless but not rough sleeping (e.g. living with friends or family),Statutory homelessness,,Creation,2022-11-18,tbc,tbc,tbc,administration,6 month,2023-06-05,tbc,tbc,tbc,some,12 month,2023-11-30,tbc,tbc,tbc,,,,,Self-employment,2022-09-30,CIH,Other,31 to 48 hours,57,Not in formal education,series,itself,,,,,,,,,,,
FD-46,,especially,young,1983,Man,Bury Council,2022-03,,2022-12-29,RPC,,,,leader,TY510097A,GL,Home Office,Yes,2,2,,2018-12,2021-08,Below formal levels,Entry level,,No,,,career,Yes,TC,,52,Not in formal education,Renting - Local authority or housing association,,investment,Creation,2023-01-16,tbc,tbc,tbc,,6 month,2023-05-23,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN-52,member,ever,suddenly,1989,Prefer not to say,Northumberland County Council,2021-10,,,,,,,admit,LN626278A,SG,DWP,Yes,,,,2019-04,2020-10,Entry level 2,Entry level,,Yes,begin,indicate,lay,No,TC,Don't know,82,Not in formal education,Publicly funded temporary accommodation,,hundred,Creation,2022-10-29,tbc,tbc,tbc,,6 month,2023-05-12,tbc,tbc,tbc,hit,12 month,2023-11-23,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
SL-24,Republican,medical,help,1995,Woman,South Tyneside Council,2022-06,once,2022-12-22,other,music,2023-04-03,RLA,safe,MB011442D,ET,Primary Care,No,1,3,,2019-06,2020-07,Beyond Level 2,Level 5+,,Yes,age,bar,admit,No,ULA,Don't know,45,Not in formal education,Homeless and rough sleeping,Non-statutory homelessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU-40,rock,risk,east,1988,Woman,Birmingham City Council,2022-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21,"Internship, another specified activity, training course, work experience",discover,Self-employment,2022-11-08,CIH,,8 to 15 hours,62,Not in formal education,simply,term,well,2023-09-12,ZHC,0 to 7 hours,49,Not in formal education,view,alone,,,
NQ-28,after,forget,special,1994,Man,Newcastle City Council,2021-11,,2023-01-09,RLA,,2023-08-17,other,direction,GX294295D,CO,Self-referrals,Yes,0,,,2019-10,2020-10,Entry level 2,Entry level,,Yes,know,campaign,ball,Yes,Other,49 or more hours,,Not in formal education,Renting - Local authority or housing association,,,Creation,2022-12-28,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DH-78,health,man,attorney,2001,Prefer not to say,Salford City Council,2022-05,,2022-12-20,RPC,cause,2023-06-23,RPC,source,MG636637B,HT,Other,No,4,2,,2018-10,2021-03,Entry level 2,Entry level,,No,,,then,No,SE,,,Not in formal education,Other safe and secure accommodation,,give,Creation,2022-10-31,tbc,tbc,tbc,,6 month,2023-05-28,tbc,tbc,tbc,,,,,,,office,2023-04-30,"Registered business for self-employment, employability, mentoring and/or coaching, work experience",,Self-employment,2022-10-01,SE,,16 to 30 hours,2,Not in formal education,home,trouble,recognize,2023-10-07,ZHC,49 or more hours,21,Not in formal education,technology,away,,,
YK-55,conference,mean,produce,1972,Man,Stockton Council,2022-03,,2022-11-21,RLA,,2023-06-24,other,,WY991194A,BS,Local VCS,No,4,6,,2017-12,2020-08,Entry level 2,Below formal levels,,No,,,executive,Don't know,CIH,31 to 48 hours,,formal education,Renting - Local authority or housing association,,,,,,,,,,,,,,,,,,,,,,,,Self-employment,2022-09-29,ZHC,TC,Don't know,9,formal education,when,break,,,,,,,,,,,
RW-02,,just,direction,1996,Man,Hartlepool Borough Council,2022-03,,,,,,,tough,NE950129B,MU,Other,No,,,"0-4, 5-11",2018-06,2021-01,Level 1,Level 3-4,,No,,,deal,Yes,Other,8 to 15 hours,59,formal education,Renting - Local authority or housing association,,,Creation,2022-12-20,tbc,tbc,tbc,,6 month,2023-05-10,tbc,tbc,tbc,new,12 month,2023-12-09,tbc,tbc,tbc,which,2023-04-02,"business plan for self-employment, mentoring and/or coaching, qualifications or skills",resource,Self-employment,2023-01-18,CIH,ZHC,16 to 30 hours,82,Not in formal education,any,else,,,,,,,,,,2022-06-07,send
BR-72,,let,thought,1993,Other,North Tyneside Council,2022-08,,2023-01-22,RLA,then,2023-08-20,RPC,,,,,,,,,,,,,,,,,,,,,,,,,clear,Creation,2022-12-07,tbc,tbc,tbc,population,6 month,2023-06-02,tbc,tbc,tbc,,,,,,,note,2023-04-01,"another specified activity, training course, work experience",,Employment,2022-12-08,ZHC,,49 or more hours,78,Not in formal education,focus,cost,,2023-08-07,PC,0 to 7 hours,43,formal education,anyone,because,,,
AS-46,,even,last,1960,Prefer not to say,Trafford Council,2022-09,,2022-11-08,RLA,require,2023-07-09,other,evening,,TJ,Migrant Help,Yes,,1,,2017-06,2021-04,Level 2,Entry level,,Yes,include,present,reveal,Yes,CIH,,,Not in formal education,Other safe and secure accommodation,,,Creation,2022-11-23,tbc,tbc,tbc,improve,6 month,2023-06-03,tbc,tbc,tbc,,,,,,,strong,2023-04-04,"Internship, Volunteering, work experience",raise,Self-employment,2022-09-26,CIH,TC,8 to 15 hours,95,Not in formal education,discussion,majority,,2023-07-20,PC,8 to 15 hours,95,Not in formal education,her,onto,,,
XL-29,southern,couple,tell,1959,Man,Wolverhampton Council,2022-07,,,,,,,,HY791234A,DK,Other,No,8,1,,2019-08,2021-04,Entry level 3,Below formal levels,,No,,,stage,Yes,Other,,,Not in formal education,Self-funded temporary accommodation (e.g. hotel),,,,,,,,,,,,,,,,,,,,,,,apply,Self-employment,2022-11-23,Other,,16 to 30 hours,88,formal education,place,yet,,,,,,,,,,,
EB-25,,fire,may,1978,Other,Darlington Borough Council,2022-02,any,2022-11-15,other,each,2023-07-30,other,,,KE,Primary Care,No,7,,,2017-10,2021-08,Level 2,Level 3-4,,Yes,clearly,someone,so,Yes,PC,Don't know,25,Not in formal education,Homeless and rough sleeping,Non-statutory homelessness,admit,Creation,2023-01-15,tbc,tbc,tbc,,,,,,,,,,,,,,2023-01-13,"Registered business for self-employment, Volunteering, business plan for self-employment, employability",,Employment,2023-01-15,PC,,0 to 7 hours,35,Not in formal education,cup,all,,2023-09-13,PC,49 or more hours,58,formal education,age,head,,,
JF-08,,letter,probably,1977,Other,Sunderland City Council,2022-09,,,,,,,manager,KG501265D,SN,LA,No,3,,"11-17, Caring responsibilities for an adult",2019-01,2021-06,Entry level 1,Level 3-4,,Yes,away,catch,back,Don't know,ZHC,,70,Not in formal education,Renting - private sector,,,Creation,2022-11-05,tbc,tbc,tbc,,6 month,2023-05-15,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO-20,,law,but,1976,Non-binary,Sunderland City Council,2022-09,,2022-11-30,RLA,boy,2023-03-28,RPC,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-12-24,tbc,tbc,tbc,,6 month,2023-05-27,tbc,tbc,tbc,although,12 month,2023-11-21,tbc,tbc,tbc,,2023-03-17,"Registered business for self-employment, another specified activity, sector-specific language training",from,Employment,2022-11-09,SE,,31 to 48 hours,43,Not in formal education,serve,information,sometimes,2023-06-08,ZHC,8 to 15 hours,40,formal education,meet,forward,,2022-09-10,really
QH-84,seek,animal,war,1976,Non-binary,Coventry City Council,2022-04,performance,2022-11-24,RLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,however,2022-09-08,
OV-64,,feeling,move,1969,Woman,Stockport Metropolitan Borough Council,2022-07,,,,,,,,TG899528B,HT,Other,Yes,4,0,,2018-07,2022-03,Below formal levels,Unknown,18,No,,,assume,Don't know,TC,,,Not in formal education,Renting - Local authority or housing association,,,Creation,2022-10-20,tbc,tbc,tbc,,6 month,2023-05-22,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VS-86,,choose,race,1958,Non-binary,Northumberland County Council,2021-11,bank,2022-11-23,RLA,station,2023-06-24,RLA,,EM375356C,UM,Local VCS,Yes,4,2,11-17,2017-11,2021-04,Entry level 3,Entry level,,Yes,usually,fish,leader,Yes,UNLA,,64,Not in formal education,Homeless and rough sleeping,Statutory homelessness,,,,,,,,,,,,,,,,,,,manager,2023-04-23,"Volunteering, business plan for self-employment, qualifications or skills, sector-specific language training",,Employment,2023-02-15,SE,ZHC,Don't know,42,Not in formal education,international,both,,2023-06-02,SE,16 to 30 hours,29,Not in formal education,happen,huge,,,
IU-62,already,model,simply,1999,Man,Rochdale Borough Council,2022-04,,,,,,,,RH000830B,MZ,LA,No,7,,,2019-08,2021-03,Beyond Level 2,Level 1-2,,No,,,central,Don't know,Other,49 or more hours,,formal education,Other safe and secure accommodation,,benefit,Creation,2023-02-01,tbc,tbc,tbc,,6 month,2023-05-15,tbc,tbc,tbc,wide,12 month,2023-12-17,tbc,tbc,tbc,,,,,Self-employment,2023-01-14,Other,CIH,16 to 30 hours,91,formal education,meet,Mr,,,,,,,,,,,
BW-37,,culture,of,1999,Man,Middlesbrough Council,2022-08,,,,,,,,HL928900D,JE,DWP,No,,3,,2017-08,2021-07,Pre-entry,Level 3-4,,Yes,general,back,item,No,Other,,,Not in formal education,Homeless and rough sleeping,Statutory homelessness,,Creation,2023-01-16,tbc,tbc,tbc,,6 month,2023-06-02,tbc,tbc,tbc,,,,,,,,2023-05-31,"business plan for self-employment, employability, mentoring and/or coaching, sector-specific language training",,Self-employment,2023-02-07,ZHC,,31 to 48 hours,81,formal education,in,most,,2023-10-09,SE,49 or more hours,68,formal education,federal,most,,,
MS-11,,best,position,1986,Woman,Bolton Council,2021-11,spend,2022-12-14,RLA,forward,2023-04-25,other,,GK863548C,BB,Home Office,Yes,,1,,2017-07,2021-06,Pre-entry,Level 3-4,,Yes,up,shake,live,Yes,PC,8 to 15 hours,,Not in formal education,Homeless and rough sleeping,Non-statutory homelessness,,Creation,2022-12-05,tbc,tbc,tbc,game,6 month,2023-06-06,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-13,when,put,machine,1986,Non-binary,Darlington Borough Council,2022-01,,2022-11-22,other,,2023-08-31,RLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,half,2023-04-21,"Internship, Registered business for self-employment, business plan for self-employment, qualifications or skills",,Employment,2022-12-01,Other,Other,49 or more hours,15,formal education,race,personal,administration,2023-10-12,Other,8 to 15 hours,99,Not in formal education,sport,trade,,2022-02-02,smile
HM-93,,appear,guess,1992,Non-binary,Bury Council,2022-04,,,,,,,,,TW,Peer,No,3,8,0-4,2018-09,2021-02,Below formal levels,Below formal levels,,No,,,serve,No,UNLA,,32,Not in formal education,Homeless but not rough sleeping (e.g. living with friends or family),Non-statutory homelessness,,,,,,,,,,,,,,,,,,,,,,live,Self-employment,2022-12-30,ZHC,,Don't know,6,Not in formal education,sort,design,,,,,,,,,,,
AZ-55,,they,ask,1972,Prefer not to say,Hartlepool Borough Council,2021-12,,2022-11-17,RPC,him,2023-07-19,RPC,,,TC,DWP,Yes,,3,,2017-12,2021-02,Entry level 2,Level 3-4,,No,,,TV,No,ULA,,,Not in formal education,Other safe and secure accommodation,,,,,,,,,,,,,,,,,,,,,2023-05-31,"Internship, Registered business for self-employment, Volunteering, training course, work experience",,Employment,2022-10-10,CIH,SE,0 to 7 hours,0,Not in formal education,game,sign,,2023-09-26,Other,49 or more hours,15,Not in formal education,language,room,material,2022-02-08,
XO-54,reason,less,cause,1966,Prefer not to say,Hartlepool Borough Council,2021-12,,,,,,,spend,KA373089C,HK,Home Office,No,,4,,2017-03,2020-10,Entry level 3,Level 1-2,,No,,,space,No,TC,,67,Not in formal education,Self-funded temporary accommodation (e.g. hotel),,on,Creation,2022-12-12,tbc,tbc,tbc,reason,6 month,2023-05-26,tbc,tbc,tbc,,12 month,2023-11-22,tbc,tbc,tbc,,2023-04-27,"Registered business for self-employment, Volunteering, business plan for self-employment",,Self-employment,2023-01-07,ZHC,CIH,Don't know,76,formal education,how,might,,,,,,,,,,2022-04-23,environment
HD-17,,model,late,1976,Man,Bury Council,2022-04,station,2022-11-11,RLA,,2023-05-06,RPC,building,NP564093A,MN,Migrant Help,No,3,6,,2016-12,2020-06,Beyond Level 2,Level 5+,,Yes,source,television,whose,Don't know,UNLA,16 to 30 hours,84,formal education,Self-funded temporary accommodation (e.g. hotel),,,Creation,2023-02-15,tbc,tbc,tbc,recently,6 month,2023-06-06,tbc,tbc,tbc,,12 month,2023-12-01,tbc,tbc,tbc,true,2023-02-07,"Internship, Volunteering, business plan for self-employment, training course",throw,Self-employment,2022-11-03,ZHC,,0 to 7 hours,76,formal education,down,since,serious,2023-10-26,SE,8 to 15 hours,19,Not in formal education,doctor,pass,,,
OX-88,up,more,anyone,1977,Other,Trafford Council,2021-11,,,,,,,answer,AX229416B,MO,Peer,Yes,3,3,,2018-08,2021-08,Entry level 3,Level 5+,,No,,,every,Yes,PC,,54,formal education,Asylum accommodation,,guess,Creation,2022-10-18,tbc,tbc,tbc,class,6 month,2023-05-13,tbc,tbc,tbc,,12 month,2023-12-03,tbc,tbc,tbc,need,2023-03-02,"Registered business for self-employment, employability",,Employment,2023-02-23,CIH,PC,Don't know,72,Not in formal education,company,north,feeling,2023-08-25,SE,49 or more hours,77,formal education,quickly,word,,2022-08-01,
LP-56,,wish,land,1966,Woman,Wolverhampton Council,2022-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,movie,Creation,2022-10-17,tbc,tbc,tbc,,6 month,2023-05-30,tbc,tbc,tbc,community,12 month,2023-12-15,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
